id,name,nature,culture,entertainment,food,activity,tags,latitude,longitude,image_url,district
131,田寮月世界,1,0.4,0.3,0.3,0.7,"風景,地質,打卡點",22.88584873,120.3899604,https://khh.travel/image/18407/1920x1080,田寮區
132,國家體育場,0.6,0.4,0.5,0.2,0.7,"戶外運動,建築",22.70311647,120.2944654,https://upload.wikimedia.org/wikipedia/commons/c/ca/World_Games_Stadium_and_National_Sports_Training_Center_2022_02.jpg,左營區
133,西子灣風景區,1,0.6,0.5,0.4,0.5,"風景,海邊,夕陽",22.61804903,120.2662611,https://khh.travel/image/20097/1920x1080,鼓山區
134,內門308高地,0.9,0.2,0.3,0.7,0.5,"風景,美食,景觀餐廳",22.97741,120.44242,https://khh.travel/image/43423/1920x1080,內門區
135,訓風砲台,0.4,0.9,0.2,0.1,0.3,古蹟,22.61983842,120.3619256,https://khh.travel/image/20022/1024x768,鳳山區
136,台糖鳳山園藝休閒廣場,0.7,0.3,0.6,0.5,0.5,"親子,娛樂,花市",22.61469,120.35843,https://khh.travel/image/56/1024x768,鳳山區
137,木柵吊橋＆木柵教會,0.7,0.8,0.2,0.1,0.4,"風景,廟宇",22.98097455,120.4714797,https://khh.travel/image/43356/1920x1080,內門區
138,鳳儀書院,0.3,1,0.5,0.2,0.3,"古蹟,打卡點,親子",22.62773754,120.3594846,https://upload.wikimedia.org/wikipedia/commons/8/85/%E9%B3%B3%E5%84%80%E6%9B%B8%E9%99%A2-1.jpg,鳳山區
139,情人谷,0.9,0.2,0.2,0.1,0.6,"風景,玩水",22.87586192,120.666843,https://cdn.68maps.com/xiaofei/undefined-1rQCFYlJa5xAT3GeFxuhdULKEIS.jpg,茂林區
140,清水巖風景區,0.8,0.9,0.2,0.1,0.5,"風景,廟宇,登山",22.5234352,120.3905543,https://khh.travel/image/37598/1920x1080,林園區
141,新光碼頭,0.8,0.3,0.5,0.3,0.5,"風景,海邊,親子",22.60891926,120.2965699,https://travel-tw.line-scdn.net/r/travel/content/3233e39a-ee5c-433c-a6d3-df5106826652t0cbb3d46,苓雅區
142,孔廟,0.5,1,0.2,0.1,0.3,"廟宇,古蹟,風景",22.68933251,120.2987931,https://img.ltn.com.tw/Upload/news/600/2025/03/10/4975394_1_1.jpg,左營區
143,衛武營國家藝術文化中心,0.7,1,0.6,0.4,0.4,"藝文,打卡點,親子",22.62299862,120.342437,https://khh.travel/image/34412/1920x1080,鳳山區
144,三和瓦窯,0.3,0.9,0.4,0.2,0.3,"古蹟,文創,體驗",22.66329825,120.426875,https://upload.wikimedia.org/wikipedia/commons/f/fa/%E4%B8%89%E5%92%8C%E7%93%A6%E7%AA%AF.JPG,大樹區
145,十八羅漢山風景區,1,0.3,0.2,0.1,0.6,"風景,地質",22.94438084,120.6345833,https://khh.travel/image/37603/1920x1080,六龜區
